image_number,R00,R01,R02,T1,R10,R11,R12,T2,R20,R21,R22,T3,fx,fy,cx,cy
0,0.9093129,0.27262229,-0.31422433,-0.34045634,-0.27248618,0.9610498,0.045279626,0.016469818,0.31433925,0.044449646,0.94820935,0.29656917,585.0,585.0,320.0,240.0
1,0.90874106,0.27250862,-0.31597188,-0.33866197,-0.27249488,0.96105307,0.045154393,0.015916772,0.31598061,0.045068324,0.94763422,0.29782206,585.0,585.0,320.0,240.0
2,0.90877688,0.27293819,-0.31549683,-0.34053639,-0.27268934,0.9609642,0.045863133,0.01700522,0.31570891,0.044354517,0.94775832,0.29744455,585.0,585.0,320.0,240.0
3,0.90853357,0.2746155,-0.31474099,-0.34110373,-0.27397129,0.9605332,0.0472285,0.015972065,0.31529874,0.043322504,0.94794255,0.29789898,585.0,585.0,320.0,240.0
4,0.90898818,0.27457187,-0.31346339,-0.34181359,-0.27361658,0.96059722,0.047974672,0.015238261,0.3142944,0.042161487,0.94832808,0.29797885,585.0,585.0,320.0,240.0
5,0.90906876,0.272284,-0.31522021,-0.34155709,-0.27110979,0.96128184,0.048486482,0.01341229,0.31622761,0.041382827,0.94771928,0.29850367,585.0,585.0,320.0,240.0
6,0.908562,0.27166781,-0.31720579,-0.34265313,-0.27120024,0.96135181,0.046549704,0.01468156,0.31760257,0.043734211,0.94715345,0.29878929,585.0,585.0,320.0,240.0
7,0.90784693,0.27342337,-0.31774372,-0.34309748,-0.27283683,0.96085256,0.047286931,0.014751164,0.31824446,0.043764163,0.94693643,0.29935786,585.0,585.0,320.0,240.0
8,0.90709007,0.27616704,-0.31753206,-0.34287909,-0.27506533,0.96011728,0.049265359,0.012549059,0.31848383,0.042655181,0.94690639,0.29991144,585.0,585.0,320.0,240.0
9,0.90666634,0.27712455,-0.31790763,-0.34430796,-0.27626681,0.95979792,0.048760664,0.011677077,0.31865028,0.043618996,0.94680631,0.30042541,585.0,585.0,320.0,240.0
10,0.90553731,0.27735224,-0.32091275,-0.34473303,-0.27655017,0.95970035,0.049073059,0.01001679,0.32160121,0.044312373,0.94577575,0.30107003,585.0,585.0,320.0,240.0
11,0.90457928,0.27897465,-0.32220507,-0.34829855,-0.27874756,0.95912528,0.047863934,0.011671324,0.3223986,0.046518687,0.94539803,0.3007119,585.0,585.0,320.0,240.0
12,0.9033978,0.28142557,-0.3233858,-0.34926173,-0.28110623,0.95839196,0.048749141,0.009891781,0.32366043,0.046867471,0.94494939,0.30138165,585.0,585.0,320.0,240.0
13,0.90247262,0.28313881,-0.324471,-0.35049552,-0.28325829,0.95779848,0.047944557,0.0086696818,0.32436365,0.048642114,0.94461846,0.30176288,585.0,585.0,320.0,240.0
14,0.9013747,0.28465736,-0.32618961,-0.35100144,-0.28547394,0.95721298,0.046471033,0.0077848108,0.32547218,0.051232647,0.94410002,0.30217817,585.0,585.0,320.0,240.0
15,0.90040338,0.2856335,-0.32801366,-0.35179797,-0.28713417,0.95678747,0.044978831,0.0084353806,0.32669789,0.053686835,0.9435401,0.30301946,585.0,585.0,320.0,240.0
16,0.89973289,0.28614792,-0.32940146,-0.35329109,-0.28750047,0.9566412,0.045740508,0.0064629153,0.32821882,0.053550847,0.94301963,0.30335963,585.0,585.0,320.0,240.0
17,0.89934814,0.28696162,-0.32974371,-0.35522214,-0.28877172,0.95631051,0.044633966,0.0064992113,0.3281568,0.055081289,0.94295293,0.30374014,585.0,585.0,320.0,240.0
18,0.89851016,0.28712577,-0.33187774,-0.35478452,-0.28919795,0.95619738,0.044297379,0.00570232,0.33007085,0.056178886,0.94221973,0.30421188,585.0,585.0,320.0,240.0
19,0.89839196,0.28648484,-0.3327502,-0.35784549,-0.2887159,0.95636201,0.043885518,0.0062701139,0.33081344,0.056646064,0.94193113,0.30443642,585.0,585.0,320.0,240.0
20,0.89764369,0.28740576,-0.33397284,-0.35937726,-0.2890273,0.95616829,0.046005175,0.0033668687,0.33256775,0.055233091,0.94139701,0.30494836,585.0,585.0,320.0,240.0
21,0.89642698,0.28871164,-0.33610737,-0.35998598,-0.29123393,0.95558864,0.044090871,0.0049451664,0.33392137,0.058363929,0.94072855,0.30611479,585.0,585.0,320.0,240.0
22,0.89540166,0.2913276,-0.33658281,-0.36213607,-0.29343429,0.95483309,0.045835033,0.0049925116,0.33474484,0.057726454,0.94047499,0.30727291,585.0,585.0,320.0,240.0
23,0.89443988,0.29422948,-0.33661571,-0.36533928,-0.29575774,0.95400906,0.048006479,0.0033002738,0.33527085,0.056620013,0.94035465,0.3074578,585.0,585.0,320.0,240.0
24,0.89379668,0.29603493,-0.33674055,-0.36828294,-0.29711679,0.95350432,0.04961738,0.0044664689,0.33578357,0.055705599,0.94022596,0.30826285,585.0,585.0,320.0,240.0
25,0.89283144,0.29748881,-0.33801758,-0.37065196,-0.29778689,0.95315206,0.052299347,0.0042487988,0.33775216,0.053964794,0.93962216,0.3094472,585.0,585.0,320.0,240.0
26,0.89199221,0.29887709,-0.33900669,-0.37373289,-0.29853991,0.9527936,0.05448978,0.004875991,0.33930087,0.052604578,0.93914115,0.31084692,585.0,585.0,320.0,240.0
27,0.89126843,0.29982448,-0.34007171,-0.37568077,-0.29855296,0.95261735,0.057419233,0.0060497252,0.34118575,0.050355326,0.93858135,0.3121317,585.0,585.0,320.0,240.0
